Date,Max,Min
2023-01-01,51,38
2023-01-02,44,38
2023-01-03,48,29
2023-01-04,51,39
2023-01-05,57,34
2023-01-06,50,31
2023-01-07,36,32
2023-01-08,34,26
2023-01-09,35,24
2023-01-10,39,27
2023-01-11,32,24
2023-01-12,39,25
2023-01-13,45,30
2023-01-14,31,19
2023-01-15,21,17
2023-01-16,24,18
2023-01-17,33,17
2023-01-18,41,29
2023-01-19,40,33
2023-01-20,41,33
2023-01-21,38,28
2023-01-22,30,28
2023-01-23,35,29
2023-01-24,30,27
2023-01-25,32,20
2023-01-26,38,26
2023-01-27,36,23
2023-01-28,37,26
2023-01-29,42,22
2023-01-30,44,27
2023-01-31,29,20
2023-02-01,23,9
2023-02-02,25,6
2023-02-03,35,6
2023-02-04,8,-12
2023-02-05,25,-12
2023-02-06,43,24
2023-02-07,34,21
2023-02-08,42,22
2023-02-09,45,24
2023-02-10,52,34
2023-02-11,44,26
2023-02-12,33,22
2023-02-13,51,18
2023-02-14,52,19
2023-02-15,51,25
2023-02-16,68,31
2023-02-17,56,31
2023-02-18,55,18
2023-02-19,43,15
2023-02-20,48,31
2023-02-21,48,26
2023-02-22,45,21
2023-02-23,35,25
2023-02-24,36,24
2023-02-25,24,13
2023-02-26,28,15
2023-02-27,43,21
2023-02-28,40,21
2023-03-01,36,23
2023-03-02,44,26
2023-03-03,39,25
2023-03-04,41,28
2023-03-05,37,29
2023-03-06,39,30
2023-03-07,41,26
2023-03-08,32,25
2023-03-09,29,21
2023-03-10,31,19
2023-03-11,38,21
2023-03-12,27,17
2023-03-13,37,18
2023-03-14,37,26
2023-03-15,27,23
2023-03-16,35,14
2023-03-17,54,22
2023-03-18,46,32
2023-03-19,39,20
2023-03-20,31,16
2023-03-21,49,18
2023-03-22,57,25
2023-03-23,60,30
2023-03-24,57,31
2023-03-25,44,26
2023-03-26,44,34
2023-03-27,53,25
2023-03-28,49,27
2023-03-29,44,24
2023-03-30,52,21
2023-03-31,36,22
2023-04-01,52,32
2023-04-02,69,24
2023-04-03,36,23
2023-04-04,62,32
2023-04-05,64,37
2023-04-06,71,49
2023-04-07,61,30
2023-04-08,42,22
2023-04-09,46,22
2023-04-10,51,23
2023-04-11,64,28
2023-04-12,70,33
2023-04-13,77,46
2023-04-14,84,46
2023-04-15,83,48
2023-04-16,80,52
2023-04-17,77,44
2023-04-18,54,38
2023-04-19,43,34
2023-04-20,48,35
2023-04-21,63,38
2023-04-22,84,48
2023-04-23,71,44
2023-04-24,54,30
2023-04-25,50,28
2023-04-26,51,29
2023-04-27,53,32
2023-04-28,59,35
2023-04-29,58,42
2023-04-30,53,42
2023-05-01,55,42
2023-05-02,53,37
2023-05-03,49,37
2023-05-04,49,38
2023-05-05,52,37
2023-05-06,59,33
2023-05-07,64,36
2023-05-08,72,40
2023-05-09,64,35
2023-05-10,59,33
2023-05-11,66,38
2023-05-12,75,45
2023-05-13,80,47
2023-05-14,70,35
2023-05-15,55,32
2023-05-16,70,36
2023-05-17,74,38
2023-05-18,47,25
2023-05-19,65,29
2023-05-20,70,51
2023-05-21,67,45
2023-05-22,69,41
2023-05-23,67,40
2023-05-24,77,45
2023-05-25,70,31
2023-05-26,57,30
2023-05-27,67,33
2023-05-28,75,40
2023-05-29,81,41
2023-05-30,84,49
2023-05-31,82,55
2023-06-01,86,51
2023-06-02,86,50
2023-06-03,88,55
2023-06-04,73,39
2023-06-05,67,40
2023-06-06,70,45
2023-06-07,63,41
2023-06-08,61,41
2023-06-09,57,44
2023-06-10,63,45
2023-06-11,75,47
2023-06-12,81,52
2023-06-13,73,52
2023-06-14,71,53
2023-06-15,66,54
2023-06-16,74,56
2023-06-17,60,56
2023-06-18,71,50
2023-06-19,73,47
2023-06-20,79,54
2023-06-21,79,55
2023-06-22,77,47
2023-06-23,77,55
2023-06-24,75,65
2023-06-25,79,64
2023-06-26,83,65
2023-06-27,80,61
2023-06-28,80,61
2023-06-29,62,55
2023-06-30,77,54
2023-07-01,83,67
2023-07-02,81,68
2023-07-03,79,65
2023-07-04,78,66
2023-07-05,82,60
2023-07-06,87,63
2023-07-07,90,66
2023-07-08,82,59
2023-07-09,83,61
2023-07-10,76,63
2023-07-11,76,55
2023-07-12,85,60
